iter	Passed	Remaining
0	137	137580
1	138	69165
2	139	46360
3	140	34944
4	141	28098
5	142	23526
6	143	20380
7	144	17956
8	145	16046
9	146	14513
10	147	13263
11	148	12222
12	149	11343
13	150	10591
14	151	9933
15	152	9358
16	153	8858
17	154	8424
18	155	8017
19	156	7650
20	156	7318
21	158	7030
22	159	6755
23	160	6509
24	160	6277
25	161	6062
26	162	5862
27	163	5675
28	164	5503
29	165	5342
30	166	5192
31	166	5051
32	167	4920
33	168	4795
34	169	4675
35	170	4564
36	171	4468
37	172	4369
38	173	4274
39	174	4184
40	175	4098
41	176	4016
42	177	3939
43	177	3865
44	178	3793
45	179	3725
46	180	3659
47	181	3596
48	182	3535
49	183	3489
50	184	3438
51	186	3391
52	187	3342
53	187	3293
54	188	3246
55	189	3201
56	191	3162
57	192	3131
58	194	3095
59	195	3065
60	197	3033
61	198	2997
62	199	2962
63	200	2929
64	201	2898
65	202	2866
66	204	2845
67	205	2817
68	206	2787
69	207	2756
70	208	2728
71	210	2707
72	211	2679
73	211	2652
74	212	2625
75	214	2602
76	215	2577
77	216	2557
78	217	2537
79	218	2515
80	219	2491
81	220	2470
82	221	2444
83	223	2436
84	224	2415
85	225	2395
86	226	2377
87	227	2357
88	228	2339
89	229	2322
90	230	2303
91	232	2290
92	233	2272
93	233	2255
94	235	2239
95	235	2222
96	236	2205
97	237	2188
98	238	2171
99	239	2156
100	240	2142
101	241	2127
102	242	2113
103	243	2098
104	244	2084
105	245	2072
106	246	2061
107	247	2048
108	248	2034
109	249	2021
110	250	2008
111	251	1995
112	252	1982
113	253	1969
114	254	1957
115	255	1945
116	255	1932
117	257	1921
118	258	1910
119	259	1902
120	260	1895
121	261	1883
122	262	1872
123	263	1861
124	264	1850
125	265	1841
126	266	1830
127	267	1820
128	268	1810
129	268	1800
130	269	1790
131	270	1780
132	271	1770
133	272	1761
134	273	1753
135	274	1744
136	275	1736
137	276	1727
138	277	1719
139	278	1710
140	279	1703
141	280	1693
142	281	1684
143	282	1676
144	282	1668
145	283	1660
